Model,MSE,RMSE,R²,Explained Variance
Linear Regressor,49830096.855908334,7059.043621901506,0.9024461774180498,0.9206307869526743
Ridge Regressor,49843476.71904716,7059.991269048933,0.9024199832728008,0.9206401066877714
